Date,Type,Location,Region,Latitude,Longitude
5/9/2018,mulch,Watsonville,,36.87131451,-121.7861673
5/9/2018,mulch,Watsonville,,36.87121837,-121.7866301
5/9/2018,mulch,Watsonville,,36.87073209,-121.7864198
5/9/2018,mulch,Watsonville,,36.87087884,-121.7870002
5/9/2018,mulch,Watsonville,,36.8704134,-121.7870137
5/9/2018,mulch,Watsonville,,36.87049622,-121.7876137
5/9/2018,mulch,Watsonville,,36.86990185,-121.7876364
5/9/2018,mulch,Watsonville,,36.87014007,-121.7882069
5/9/2018,mulch,Watsonville,,36.86974191,-121.7882378
5/9/2018,mulch,Watsonville,,36.86965095,-121.7888779
5/9/2018,mulch,Watsonville,,36.87079939,-121.7855959
5/9/2018,mulch,Watsonville,,36.87049566,-121.7860793
5/9/2018,mulch,Watsonville,,36.86997531,-121.7866634
5/9/2018,mulch,Watsonville,,36.86971437,-121.7870424
5/9/2018,mulch,Watsonville,,36.86941557,-121.7874398
5/9/2018,mulch,Watsonville,,36.86903332,-121.7876222
5/9/2018,mulch,Watsonville,,36.86861837,-121.788376
5/9/2018,mulch,Watsonville,,36.86910081,-121.7887042
5/9/2018,mulch,Watsonville,,36.86910565,-121.7894113
5/9/2018,mulch,Watsonville,,36.87181041,-121.7865872
5/9/2018,mulch,Watsonville,,36.8718949,-121.7870564
5/9/2018,mulch,Watsonville,,36.87137268,-121.7871966
5/9/2018,mulch,Watsonville,,36.8714119,-121.7877881
5/9/2018,mulch,Watsonville,,36.87087245,-121.7879035
5/9/2018,mulch,Watsonville,,36.87099843,-121.7884599
5/9/2018,mulch,Watsonville,,36.87037233,-121.788428
5/9/2018,mulch,Watsonville,,36.87048384,-121.7891445
5/9/2018,mulch,Watsonville,,36.87010707,-121.7889893
5/9/2018,mulch,Watsonville,,36.86971024,-121.789624
5/9/2018,mulch,Watsonville,,36.87249792,-121.7871521
5/9/2018,mulch,Watsonville,,36.87246629,-121.7876597
5/9/2018,mulch,Watsonville,,36.89308555,-121.6616951
5/9/2018,mulch,Watsonville,,36.89283164,-121.6620044
5/9/2018,mulch,Watsonville,,36.89317941,-121.6622134
5/9/2018,mulch,Watsonville,,36.87282506,-121.7877234
5/9/2018,mulch,Watsonville,,36.87190483,-121.788216
5/9/2018,mulch,Watsonville,,36.8720351,-121.7887669
5/9/2018,mulch,Watsonville,,36.87141132,-121.7889262
5/9/2018,mulch,Watsonville,,36.87143063,-121.7895317
5/9/2018,mulch,Watsonville,,36.87067754,-121.7900068
5/9/2018,mulch,Watsonville,,36.8707145,-121.7907051
5/9/2018,mulch,Watsonville,,36.8709793,-121.7900246
5/9/2018,mulch,Watsonville,,36.8731255,-121.7880814
5/9/2018,mulch,Watsonville,,36.87314611,-121.7887721
5/9/2018,mulch,Watsonville,,36.87260204,-121.7888719
5/9/2018,mulch,Watsonville,,36.87256746,-121.7894983
5/9/2018,mulch,Watsonville,,36.87205284,-121.7895855
5/9/2018,mulch,Watsonville,,36.87214759,-121.7902102
5/9/2018,mulch,Watsonville,,36.87154408,-121.7903322
5/9/2018,mulch,Watsonville,,36.87176775,-121.7908627
5/9/2018,mulch,Watsonville,,36.87106913,-121.7910228
5/9/2018,mulch,Watsonville,,36.87136142,-121.7911534
5/9/2018,mulch,Watsonville,,36.87374041,-121.7887088
5/9/2018,mulch,Watsonville,,36.87317704,-121.7895159
5/9/2018,mulch,Watsonville,,36.87269855,-121.7903657
5/9/2018,mulch,Watsonville,,36.8721523,-121.7911167
5/9/2018,mulch,Watsonville,,36.87190856,-121.7920981
5/9/2018,mulch,Watsonville,,36.87439538,-121.7895871
5/9/2018,mulch,Watsonville,,36.87469534,-121.7907311
5/9/2018,mulch,Watsonville,,36.87418388,-121.7928023
5/9/2018,mulch,Watsonville,,36.87629939,-121.7920637
5/9/2018,mulch,Watsonville,,36.86901968,-121.7905265
5/9/2018,mulch,Watsonville,,36.86925095,-121.7915935
5/9/2018,mulch,Watsonville,,36.86610084,-121.7910546
5/9/2018,mulch,Watsonville,,36.86516382,-121.7931482
5/9/2018,mulch,Watsonville,,36.86855875,-121.7927113
5/9/2018,mulch,Watsonville,,36.87415666,-121.7901956
5/9/2018,mulch,Watsonville,,36.87239357,-121.7920448
5/9/2018,mulch,Watsonville,,36.87302254,-121.7913803
5/9/2018,mulch,Watsonville,,36.87349704,-121.7907928
5/9/2018,mulch,Watsonville,,36.87545536,-121.7904039
5/9/2018,mulch,Watsonville,,36.87456642,-121.791418
5/9/2018,mulch,Watsonville,,36.87343597,-121.7919764
5/9/2018,mulch,Watsonville,,36.87382292,-121.792183
5/9/2018,mulch,Watsonville,,36.87590785,-121.7907602
5/9/2018,mulch,Watsonville,,36.87546769,-121.7918564
5/9/2018,mulch,Watsonville,,36.87458854,-121.7922317
5/9/2018,mulch,Watsonville,,36.8738527,-121.7934074
5/9/2018,mulch,Watsonville,,36.87405212,-121.7943508
5/9/2018,mulch,Watsonville,,36.87475883,-121.7939578
5/9/2018,mulch,Watsonville,,36.8752113,-121.7932103
5/9/2018,mulch,Watsonville,,36.87600611,-121.7927831
5/9/2018,mulch,Watsonville,,36.86825354,-121.7915237
5/9/2018,mulch,Watsonville,,36.86858105,-121.7916128
5/9/2018,mulch,Watsonville,,36.86873941,-121.7910483
5/9/2018,mulch,Watsonville,,36.86930633,-121.7905947
5/9/2018,mulch,Watsonville,,36.86962286,-121.7907761
5/9/2018,mulch,Watsonville,,36.86981286,-121.7911526
5/9/2018,mulch,Watsonville,,36.86910141,-121.7922788
5/9/2018,mulch,Watsonville,,36.8687603,-121.792001
5/9/2018,mulch,Watsonville,,36.86886456,-121.7928009
5/9/2018,mulch,Watsonville,,36.86819535,-121.7934658
5/9/2018,mulch,Watsonville,,36.86833359,-121.7941944
5/9/2018,mulch,Watsonville,,36.86855794,-121.7932514
5/9/2018,mulch,Watsonville,,36.86607167,-121.7915758
5/9/2018,mulch,Watsonville,,36.86591,-121.7921272
5/9/2018,mulch,Watsonville,,36.86601874,-121.7930351
5/9/2018,mulch,Watsonville,,36.86627786,-121.793976
5/9/2018,mulch,Watsonville,,36.86438489,-121.7917608
5/9/2018,mulch,Watsonville,,36.86455716,-121.7922979
5/9/2018,mulch,Watsonville,,36.86453807,-121.7931494
5/9/2018,mulch,Watsonville,,36.86517111,-121.7917591
5/9/2018,hoop,Watsonville,,36.9078061,-121.7381607
5/9/2018,hoop,Watsonville,,36.90782566,-121.7385884
5/9/2018,hoop,Watsonville,,36.90758104,-121.7387355
5/9/2018,hoop,Watsonville,,36.90785288,-121.7391078
5/9/2018,hoop,Watsonville,,36.90768508,-121.7395699
5/9/2018,hoop,Watsonville,,36.90784792,-121.7399969
5/9/2018,hoop,Watsonville,,36.90770657,-121.7405435
5/9/2018,hoop,Watsonville,,36.90789485,-121.740858
5/9/2018,hoop,Watsonville,,36.90769532,-121.7416457
5/9/2018,hoop,Watsonville,,36.90794313,-121.7413344
5/9/2018,hoop,Watsonville,,36.90684359,-121.7380152
5/9/2018,hoop,Watsonville,,36.90724147,-121.7380913
5/9/2018,hoop,Watsonville,,36.90713071,-121.7384723
5/9/2018,hoop,Watsonville,,36.90724908,-121.7391722
5/9/2018,hoop,Watsonville,,36.90698105,-121.7395458
5/9/2018,hoop,Watsonville,,36.9072813,-121.7397655
5/9/2018,hoop,Watsonville,,36.90695687,-121.7400588
5/9/2018,hoop,Watsonville,,36.90726933,-121.7404191
5/9/2018,hoop,Watsonville,,36.90697331,-121.7408087
5/9/2018,hoop,Watsonville,,36.90729282,-121.7410251
5/9/2018,hoop,Watsonville,,36.90654135,-121.7380254
5/9/2018,hoop,Watsonville,,36.90643279,-121.7386949
5/9/2018,hoop,Watsonville,,36.90656028,-121.7390962
5/9/2018,hoop,Watsonville,,36.90630743,-121.7395486
5/9/2018,hoop,Watsonville,,36.90660485,-121.7398027
5/9/2018,hoop,Watsonville,,36.90633768,-121.7402707
5/9/2018,hoop,Watsonville,,36.90656905,-121.7404587
5/9/2018,hoop,Watsonville,,36.90665369,-121.740873
5/9/2018,hoop,Watsonville,,36.90630133,-121.741161
5/9/2018,hoop,Watsonville,,36.90665655,-121.7414772
5/9/2018,hoop,Watsonville,,36.90586586,-121.7380447
5/9/2018,hoop,Watsonville,,36.9054874,-121.7387352
5/9/2018,hoop,Watsonville,,36.90593663,-121.7387112
5/9/2018,hoop,Watsonville,,36.90552211,-121.7391925
5/9/2018,hoop,Watsonville,,36.90595265,-121.7394376
5/9/2018,hoop,Watsonville,,36.9056507,-121.7398765
5/9/2018,hoop,Watsonville,,36.90594227,-121.7404352
5/9/2018,hoop,Watsonville,,36.90562939,-121.7410704
